Vial_no.,date set,date coll.,location,Infusion,genus,species,sex,gravid,parity,bloodfed,diff
405,7/15/2015,7/17/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
406,7/15/2015,7/17/2015,Church,oak,Ae.,triseriatus sl,female,yes,,no,2
407,7/15/2015,7/17/2015,Church,oak,Ae.,japonicus,female,no,,no,2
408,7/15/2015,7/17/2015,Church,oak,Ae.,triseriatus sl,female,yes,,no,2
409,7/15/2015,7/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
410,7/15/2015,7/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
411,7/15/2015,7/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
412,7/15/2015,7/17/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
413,7/15/2015,7/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
414,7/15/2015,7/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
415,7/15/2015,7/17/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
416,7/15/2015,7/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
417,7/15/2015,7/17/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
418,7/15/2015,7/17/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
419,7/21/2015,7/23/2015,dev.cent.,oak,Cx.,restuans,female,yes,,no,2
420,7/21/2015,7/23/2015,dev.cent.,oak,Cx.,territans,female,yes,,no,2
421,7/21/2015,7/23/2015,dev.cent.,oak,Ae.,triseriatus sl,female,no,,no,2
422,7/21/2015,7/23/2015,dev.cent.,grass,Ae.,triseriatus sl,female,yes,,no,2
423,7/21/2015,7/23/2015,dev.cent.,grass,Ae.,triseriatus sl,female,yes,,no,2
424,7/21/2015,7/23/2015,dev.cent.,grass,Ae.,japonicus,female,yes,,no,2
425,7/21/2015,7/23/2015,dev.cent.,grass,Ae.,triseriatus sl,female,yes,,no,2
426,7/21/2015,7/23/2015,dev.cent.,grass,Ae.,japonicus,female,yes,,no,2
427,7/21/2015,7/23/2015,dev.cent.,grass,Ae.,japonicus,female,yes,,no,2
428,7/21/2015,7/23/2015,dev.cent.,grass,Ae.,triseriatus sl,female,yes,,no,2
429,7/21/2015,7/23/2015,dev.cent.,grass,An.,barberi,male,no,,no,2
430,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
431,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
432,7/21/2015,7/23/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
433,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
434,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
435,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
436,7/21/2015,7/23/2015,Church,grass,Ae.,triseriatus sl,female,no,,no,2
437,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
438,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
439,7/21/2015,7/23/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
440,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,no,,no,2
441,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
442,7/21/2015,7/23/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
443,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
444,7/21/2015,7/23/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
445,7/21/2015,7/23/2015,Church,grass,Ae.,japonicus,female,no,,no,2
446,7/21/2015,7/23/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
447,7/21/2015,7/23/2015,Church,oak,Ae.,japonicus,female,no,,no,2
448,7/21/2015,7/23/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
449,7/21/2015,7/23/2015,Church,oak,Ae.,triseriatus sl,female,yes,,no,2
450,7/21/2015,7/23/2015,Church,oak,Ae.,triseriatus sl,female,no,,no,2
451,7/21/2015,7/23/2015,HHS,oak,Ae.,japonicus,female,no,,no,2
452,7/21/2015,7/23/2015,HHS,oak,Ae.,japonicus,female,yes,,no,2
453,7/21/2015,7/23/2015,HHS,oak,Ae.,japonicus,female,yes,,no,2
454,7/21/2015,7/23/2015,HHS,grass,Ae.,japonicus,female,yes,,no,2
455,7/21/2015,7/23/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
456,7/21/2015,7/23/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
457,7/21/2015,7/23/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
458,7/21/2015,7/23/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
459,7/23/2015,7/25/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
460,7/23/2015,7/25/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
461,7/23/2015,7/25/2015,Church,oak,Ae.,japonicus,female,yes,,no,2
462,7/23/2015,7/25/2015,HHS,grass,Ae.,triseriatus sl,female,no,,no,2
463,7/23/2015,7/25/2015,HHS,grass,Ae.,japonicus,female,yes,,no,2
464,7/23/2015,7/25/2015,HHS,grass,Ae.,japonicus,female,yes,,no,2
465,7/23/2015,7/25/2015,HHS,grass,Ae.,japonicus,female,yes,,no,2
466,7/23/2015,7/25/2015,HHS,grass,Ae.,triseriatus sl,female,yes,,no,2
467,7/23/2015,7/25/2015,HHS,grass,Ae.,triseriatus sl,female,no,,no,2
468,7/23/2015,7/25/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
469,7/23/2015,7/25/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
470,7/23/2015,7/25/2015,Church,grass,Cx.,restuans,female,yes,,no,2
471,7/23/2015,7/25/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
472,7/23/2015,7/25/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
473,7/23/2015,7/25/2015,Church,grass,Ae.,japonicus,female,yes,,no,2
474,7/23/2015,7/25/2015,Church,grass,Ae.,japonicus,female,no,,no,2
475,7/23/2015,7/25/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
476,7/23/2015,7/25/2015,Church,grass,Ae.,triseriatus sl,female,yes,,no,2
477,7/23/2015,7/25/2015,dev.cent.,grass,Ae.,japonicus,female,yes,,no,2
478,7/23/2015,7/25/2015,dev.cent.,oak,Ae.,triseriatus sl,female,yes,,no,2
479,7/23/2015,7/25/2015,dev.cent.,oak,Ae.,japonicus,female,no,,no,2
480,7/23/2015,7/25/2015,HHS,oak,Ae.,japonicus,female,yes,,no,2
481,7/23/2015,7/25/2015,HHS,oak,Ae.,triseriatus sl,female,no,,no,2
482,7/23/2015,7/25/2015,HHS,oak,Ae.,triseriatus sl,female,yes,,no,2
483,7/23/2015,7/25/2015,HHS,oak,Ae.,triseriatus sl,female,yes,,no,2
484,7/23/2015,7/25/2015,HHS,oak,Ae.,japonicus,female,yes,,no,2
485,7/23/2015,7/25/2015,HHS,oak,Ae.,triseriatus sl,female,yes,,no,2
